season,tm,abbreviation
1950,Los Angeles Lakers,MNL
1951,Sacramento Kings,ROC
1952,Los Angeles Lakers,MNL
1953,Los Angeles Lakers,MNL
1954,Los Angeles Lakers,MNL
1955,Philidelphia 76ers,SYR
1956,Golden State Warriors,PHW
1957,Boston Celtics,BOS
1958,Atlanta Hawks,STL
1959,Boston Celtics,BOS
1960,Boston Celtics,BOS
1961,Boston Celtics,BOS
1962,Boston Celtics,BOS
1963,Boston Celtics,BOS
1964,Boston Celtics,BOS
1965,Boston Celtics,BOS
1966,Boston Celtics,BOS
1967,Philadelphia 76ers,PHI
1968,Boston Celtics,BOS
1969,Boston Celtics,BOS
1970,New York Knicks,NYK
1971,Milwaukee Bucks,MIL
1972,Los Angeles Lakers,LAL
1973,New York Knicks,NYK
1974,Boston Celtics,BOS
1975,Golden State Warriors,GSW
1976,Boston Celtics,BOS
1977,Portland Trail Blazers,POR
1978,Washington Wizards,WSB
1979,Oklahoma City Thunder,SEA
1980,Los Angeles Lakers,LAL
1981,Boston Celtics,BOS
1982,Los Angeles Lakers,LAL
1983,Philadelphia 76ers,PHI
1984,Boston Celtics,BOS
1985,Los Angeles Lakers,LAL
1986,Boston Celtics,BOS
1987,Los Angeles Lakers,LAL
1988,Los Angeles Lakers,LAL
1989,Detroit Pistons,DET
1990,Detroit Pistons,DET
1991,Chicago Bulls,CHI
1992,Chicago Bulls,CHI
1993,Chicago Bulls,CHI
1994,Houston Rockets,HOU
1995,Houston Rockets,HOU
1996,Chicago Bulls,CHI
1997,Chicago Bulls,CHI
1998,Chicago Bulls,CHI
1999,San Antonio Spurs,SAS
2000,Los Angeles Lakers,LAL
2001,Los Angeles Lakers,LAL
2002,Los Angeles Lakers,LAL
2003,San Antonio Spurs,SAS
2004,Detroit Pistons,DET
2005,San Antonio Spurs,SAS
2006,Miami Heat,MIA
2007,San Antonio Spurs,SAS
2008,Boston Celtics,BOS
2009,Los Angeles Lakers,LAL
2010,Los Angeles Lakers,LAL
2011,Dallas Mavericks,DAL
2012,Miami Heat,MIA
2013,Miami Heat,MIA
2014,San Antonio Spurs,SAS
2015,Golden State Warriors,GSW
2016,Cleveland Cavaliers,CLE
2017,Golden State Warriors,GSW
2018,Golden State Warriors,GSW
2019,Toronto Raptors,TOR
2020,Los Angeles Lakers,LAL
2021,Milwaukee Bucks,MIL
2022,Golden State Warriors,GSW
2023,Denver Nuggets,DEN
